Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
0,1,0.499392,0.223629,0.611758,0.336839,0,5,0.206113,0.463837
1,1,0.499392,0.447259,0.723517,0.352494,0,5,0.440396,0.599207
2,1.5,0.748397,0.677597,0.838628,0.380874,0.0639564,5.15,0.841708,0.800293
3,1.5,0.748397,0.907332,0.971723,0.54161,0.0921205,5.3,0.957821,1.04559
4,2,0.996734,1.14636,1.10279,0.516471,0.1393,5.45,1.12234,1.10815
5,2,0.996734,1.38114,1.25795,0.546186,0.215352,5.6,1.35624,1.20522
6,2.5,1.24425,1.61902,1.42209,0.62322,0.324242,5.75,1.6294,1.33497
7,2.5,1.24425,1.84525,1.61967,0.720182,0.361641,5.9,1.93928,1.56811
8,3,1.49078,2.07554,1.82098,0.897882,0.374636,6.05,2.04308,1.78032
9,3,1.49078,2.29589,2.04667,0.982515,0.270473,6.2,2.24887,1.99602
10,3.5,1.73618,2.53273,2.2595,1.17531,0.151323,6.35,2.42814,2.287
11,3.5,1.73618,2.77262,2.47961,1.21012,0.00485387,6.5,2.71354,2.49142
12,4,1.9803,3.03544,2.68366,1.17516,-0.169679,6.65,3.03548,2.69733
13,4.5,2.22297,3.31995,2.87324,1.20876,-0.329882,6.8,3.21676,2.87877
14,4.5,2.22297,3.63084,3.03983,1.08974,-0.376979,6.95,3.53339,2.97498
15,5,2.46405,3.95386,3.19789,1.0563,-0.361766,7.1,3.89924,3.15236
16,5.5,2.70338,4.28992,3.34473,1.13916,-0.346374,7.25,4.24004,3.41966
17,5.5,2.70338,4.63861,3.47984,0.925567,-0.335604,7.4,4.61518,3.39865
18,6,2.94082,4.99966,3.60225,0.885244,-0.322713,7.55,5.05252,3.62698
19,6.5,3.17621,5.37226,3.71199,0.598066,-0.311688,7.7,5.46401,3.52169
20,7,3.40941,5.75618,3.80791,0.538929,-0.294796,7.85,5.7801,3.66022
21,7,3.40941,6.15026,3.89128,0.614384,-0.170531,8,6.07631,3.84411
22,7.5,3.64027,6.54659,3.98771,0.507998,-0.03638,8.15,6.43359,3.88466
23,8,3.86864,6.94691,4.09593,0.465893,0.0565318,8.29374,6.85141,4.00289
24,8.5,4.09438,7.3509,4.21695,0.471685,0.0922228,8.42935,7.37434,4.19871
